09:47:30:701 [ALWAYS]	GUDE Logging Started
09:47:30:702 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:47:30:702 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:47:30:702 [ERROR]	Initialize resume cache pointer failure
09:47:30:702 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
09:47:30:702 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
09:47:32:853 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
09:47:32:853 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:47:32:853 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:47:32:853 [ERROR]	Initialize resume cache pointer failure
09:47:32:853 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
09:47:32:853 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
